Names,isMale,isFemale
ΑΝΘΟΥΛΑ,1,0
ΑΝΘΥΜΟΣ,1,0
ΑΝΙΚΟ,1,0
ΑΝΙΝΑΣ,1,0
ΑΝΝΑ,1,0
ΑΝΡΔΙΑΝΝΑ,1,0
ΑΝΡΕΑΣ,1,0
ΑΝΤΕΛ,1,0
ΑΝΤΕΜ,1,0
ΑΝΤΖΕΙ,1,0
ΑΝΤΖΕΛΙΝ,1,0
ΑΝΤΖΕΛΟΣ,1,0
ΑΝΤΙ,1,0
ΑΝΤΙΓΟΝΗ,1,0
ΑΝΤΙΜΠ,1,0
ΑΝΤΙΝΟΝ,1,0
ΑΝΤΙΟΛ,1,0
ΑΝΤΙΟΛΑΡΗΣ,1,0
ΑΝΤΙΠΑΤΡΟΣ,1,0
ΑΝΤΙΣΣΕΙ-ΟΔΥΣΣΕΑΣ,1,0
ΑΝΤΛ,1,0
ΑΝΤΝΑΝ,1,0
ΑΝΤΟΝ,1,0
ΑΝΤΟΝΙΣ,1,0
ΑΝΤΟΥΑΝ,1,0
ΑΝΤΟΥΕΛ,1,0
ΑΝΤΡΑΝΙΚ,1,0
ΑΝΤΡΕΑ,1,0
ΑΝΤΡΕΑΤΙΚ,1,0
ΑΝΤΡΙ,1,0
ΑΝΤΡΙΑΝ,1,0
ΑΝΤΡΙΑΝΟ,1,0
ΑΝΤΡΙΑΤΙΚ,1,0
ΑΝΤΡΙΟΥ,1,0
ΑΝΤΡΟ,1,0
ΑΝΤΡΟΝΙΓΚ,1,0
ΑΝΤΥΠΑΣ,1,0
ΑΝΤΩΝ,1,0
ΑΝΤΩΝΗ,1,0
ΑΝΤΩΝΗΣ,1,0
ΑΝΤΩΝΗΣ-ΜΗΝΑΣ,1,0
ΑΝΤΩΝΙΑ,1,0
ΑΝΤΩΝΙΟΣ,1,0
ΑΝΤΩΝΙΟΣΜΑΡΙΟΣ,1,0
ΑΝΤΩΝΙΟΣΜΗΝΑΣ,1,0
ΑΝΤΩΝΙΟΣΜΙΧΑΗΛ,1,0
ΑΝΤΩΝΙΟΣΧΡΗΣΤΟΣ,1,0
ΑΝΤΩΝΙΟΣ-ΙΩΑΝΝΗΣ,1,0
ΑΝΤΩΝΙΟΣ-ΠΑΡΑΣΚΕΥΑΣ,1,0
ΑΝΤΩΝΙΟΣ-ΠΡΟΔΡΟΜΟΣ,1,0
ΑΞΙΩΤΗΣ,1,0
ΑΟΥΒΕΡΛΙΝ-ΝΙΚΟΤ,1,0
ΑΟΥΝΙ,1,0
ΑΟΥΡΕΛ,1,0
ΑΟΥΡΕΛΙΟ,1,0
ΑΠΟΛΛΩΝ,1,0
ΑΠΟΛΛΩΝΑΣ,1,0
ΑΠΟΣΤΟΛ,1,0
ΑΠΟΣΤΟΛΑΚΗΣ,1,0
ΑΠΟΣΤΟΛΗΣ,1,0
ΑΠΟΣΤΟΛΙΑ,1,0
ΑΠΟΣΤΟΛΟ,1,0
ΑΠΟΣΤΟΛΟΣ,1,0
ΑΠΟΣΤΟΛΟΣΡΑΦΑΗΛ,1,0
ΑΠΟΣΤΟΛΟΣΧΡΗΣΤΟΣ,1,0
ΑΠΟΣΤΟΛΟΣ-ΒΑΣΙΛΕΙΟΣ,1,0
ΑΠΟΣΤΟΛΟΣ-ΔΗΜΗΤΡΙΟΣ,1,0
ΑΠΤΗ,1,0
ΑΠΤΟΥΛΑ,1,0
ΑΡΑΙΚ,1,0
ΑΡΑΚΕΛ,1,0
ΑΡΑΜ,1,0
ΑΡΑΡΑΤ,1,0
ΑΡΓΥΡΗΣ,1,0
ΑΡΓΥΡΙΟΣ,1,0
ΑΡΓΥΡΩ,1,0
ΑΡΔΙΑΝ,1,0
ΑΡΕΝ,1,0
ΑΡΕΤΑΙΟΣ,1,0
ΑΡΕΤΗ,1,0
ΑΡΗΣ,1,0
ΑΡΗΣ-ΚΩΝΣΤΑΝΤΙΝΟΣ,1,0
ΑΡΘΟΥΡΟΣ,1,0
ΑΡΙ,1,0
ΑΡΙΑΔΝΗ,1,0
ΑΡΙΑΝ,1,0
ΑΡΙΟΛ,1,0
ΑΡΙΣΤΑΡΧΟΣ,1,0
ΑΡΙΣΤΕΑ,1,0
ΑΡΙΣΤΕΙΔ,1,0
ΑΡΙΣΤΕΙΔΗ,1,0
ΑΡΙΣΤΕΙΔΗΣ,1,0
ΑΡΙΣΤΕΙΔΗΣΙΩΑΚΕΙΜ,1,0
ΑΡΙΣΤΕΙΔΗΣΧΡΗΣΤΟΣ,1,0
ΑΡΙΣΤΕΙΔΗΣ-ΠΑΝΑΓΙΩΤΗΣ,1,0
ΑΡΙΣΤΗ,1,0
ΑΡΙΣΤΙΔΗ,1,0
ΑΡΙΣΤΙΔΗΣ,1,0
ΑΡΙΣΤΙΔΙ,1,0
ΑΡΙΣΤΟΒΟΥΛΟΣ,1,0
ΑΡΙΣΤΟΓΕΙΤΩΝ,1,0
ΑΡΙΣΤΟΓΕΝΗΣ,1,0
ΑΡΙΣΤΟΓΕΝΝΗΣ,1,0
ΑΡΙΣΤΟΔΗΜΟΣ,1,0
ΑΡΙΣΤΟΚΛΗΣ,1,0
ΑΡΙΣΤΟΚΡΑΤΗΣ,1,0
ΑΡΙΣΤΟΜΕΝΗΣ,1,0
ΑΡΙΣΤΟΣ,1,0
ΑΡΙΣΤΟΤΕ,1,0
ΑΡΙΣΤΟΤΕΛΗ,1,0
ΑΡΙΣΤΟΤΕΛΗΣ,1,0
ΑΡΙΣΤΟΤΕΛΗΣΕΥΑΓ,1,0
ΑΡΙΣΤΟΤΕΛΗΣ-ΧΡΙΣΤΟΦΟ,1,0
ΑΡΙΣΤΟΦΑΝΗΣ,1,0
ΑΡΙΦ,1,0
ΑΡΙΩΝ,1,0
ΑΡΚΑΔΙΟΣ,1,0
ΑΡΚΙΛΕΟ,1,0
ΑΡΜΑΝ,1,0
ΑΡΜΑΝΔ,1,0
ΑΡΜΑΝΔΟΣ,1,0
ΑΡΜΑΝΔΟΣ-ΣΠΥΡΙΔΩΝ,1,0
ΑΡΜΑΝΗΣ,1,0
ΑΡΜΑΝΙ,1,0
ΑΡΜΑΝΤ,1,0
ΑΡΜΑΝΤΗ,1,0
ΑΡΜΑΝΤΟ,1,0
ΑΡΜΕΛΙΝΟ,1,0
ΑΡΜΕΝ,1,0
ΑΡΜΕΝΓΕΩΡΓΙΟΣ,1,0
ΑΡΜΙΑ,1,0
ΑΡΜΠΕΝ,1,0
ΑΡΜΠΙΟΝ,1,0
ΑΡΜΠΡΙ,1,0
ΑΡΝΑΛΝΤ,1,0
ΑΡΝΟΛΝΤ,1,0
ΑΡΝΤΑΝ,1,0
ΑΡΝΤΙΑΝ,1,0
ΑΡΟΝ,1,0
ΑΡΟΥΤΙΟΥΝ,1,0
ΑΡΡΕΝ,1,0
ΑΡΡΕΝΑ,1,0
ΑΡΡΕΝΑΛΕΞΑΝΔΡΟΣ,1,0
ΑΡΡΕΝΒ,1,0
ΑΡΡΕΝ-ΑΚΟ,1,0
ΑΡΣΑΚ,1,0
ΑΡΣΕΝ,1,0
ΑΡΣΕΝΗΣ,1,0
