,index,Names,isMale
6688,9380,ΤΖΙΒΑΕΡΑ,0
6689,9381,ΤΖΙΒΑΝΗ,0
6690,9382,ΤΖΙΒΑΝΙΩ,0
6691,9383,ΤΖΙΛΔΑ,0
6692,9384,ΤΖΙΜΕΙΤ,0
6693,4083,ΤΖΙΜΙ,1
6694,4084,ΤΖΙΜΣΕΡ,1
6695,4085,ΤΖΙΝΑΙ,1
6696,9385,ΤΖΙΝΑΚΡΙΝΑ,0
6697,9386,ΤΖΙΟΒΑΝΑ,0
6698,2147,ΤΖΙΟΡΤΖΙΟ,1
6699,4086,ΤΖΙΟΥΖΕΠΕ,1
6700,4087,ΤΖΙΧΑΝ,1
6701,7681,ΤΖΟΑΙΝ,0
6702,9387,ΤΖΟΑΝΑ,0
6703,4088,ΤΖΟΑΝΝΑ,1
6704,9388,ΤΖΟΒΑΝΑ,0
6705,9389,ΤΖΟΓΙΑ,0
6706,4089,ΤΖΟΙ,1
6707,4090,ΤΖΟΝ,1
6708,4091,ΤΖΟΝΗ,1
6709,4092,ΤΖΟΝΙ,1
6710,4093,ΤΖΟΝΙΚ,1
6711,4094,ΤΖΟΡΤΖΑΡΤΙΝ,1
6712,9390,ΤΖΟΡΤΖΕΤΑ,0
6713,4095,ΤΖΟΡΤΖΙ,1
6714,9391,ΤΖΟΡΤΖΙΝΑ,0
6715,4096,ΤΖΟΤΖΙ,1
6716,4097,ΤΖΟΤΟ,1
6717,4098,ΤΖΟΥΒΗΣ,1
6718,4099,ΤΖΟΥΛ,1
6719,9392,ΤΖΟΥΛΕΤΑ,0
6720,9394,ΤΖΟΥΛΙΑΜΑΡΙΑ,0
6721,4100,ΤΖΟΥΛΙΑΝ,1
6722,9397,ΤΖΟΥΛΙΑΝΑ,0
6723,9398,ΤΖΟΥΛΙΑΝΝΑ,0
6724,4101,ΤΖΟΥΛΙΑΝΟ,1
6725,9399,ΤΖΟΥΛΙΕΤΑ,0
6726,9400,ΤΖΟΥΛΙΕΤΤΑ,0
6727,4102,ΤΖΟΥΛΙΟ,1
6728,4103,ΤΖΟΥΛΤΖΑΝ,1
6729,9401,ΤΖΟΥΝΑ,0
6730,4104,ΤΖΟΥΝΕΙΤ,1
6731,4105,ΤΖΩΡΤΖ,1
6732,4106,ΤΖΩΡΤΖΗ,1
6733,4107,ΤΖΩΡΤΖΗΣ,1
6734,4108,ΤΖΩΡΤΖΙ,1
6735,4109,ΤΗΛΕΜΑΧΟΣ,1
6736,4110,ΤΗΛΕΜΑΧΟΣΧΡΙΣΤΟΦΟΡΟΣ,1
6737,4111,ΤΗΟΜΑΚΙ,1
6738,4112,ΤΙΑΒΟΣΑΝΤΕ,1
6739,4113,ΤΙΓΚΡΑΝ,1
6740,4114,ΤΙΛΗΣ,1
6741,4115,ΤΙΜ,1
6742,9402,ΤΙΜΕΑ,0
6743,9403,ΤΙΜΙΑ,0
6744,4117,ΤΙΜΟ,1
6745,9404,ΤΙΜΟΘΕΑ,0
6746,9405,ΤΙΜΟΚΛΕΙΑ,0
6747,4119,ΤΙΜΟΛΕΟ,1
6748,4120,ΤΙΜΟΛΕΩΝ,1
6749,4121,ΤΙΜΟΥΡΙ,1
6750,9406,ΤΙΝΑ,0
6751,9407,ΤΙΝΑΤΙΝ,0
6752,9408,ΤΙΝΚΑ,0
6753,4122,ΤΙΟΜΑ,1
6754,9409,ΤΙΡΟΥΝ,0
6755,9410,ΤΙΤΖΕ,0
6756,4123,ΤΙΤΟΣ,1
6757,4124,ΤΟΚΙΡ,1
6758,9411,ΤΟΚΣΙΑ,0
6759,4126,ΤΟΛΓΚΑ,1
6760,4127,ΤΟΜΑ,1
6761,4128,ΤΟΜΑΖΙ,1
6762,4129,ΤΟΜΟΡ,1
6763,4130,ΤΟΜΟΡΡ,1
6764,9412,ΤΟΝΙΛΝΤΑ,0
6765,4131,ΤΟΝΙΝ,1
6766,4132,ΤΟΝΤΙ,1
6767,4133,ΤΟΝΤΟΡ,1
6768,9413,ΤΟΝΤΟΡΚΑ,0
6769,6672,ΤΟΝΤΟΡΟΒΑ,0
6770,9414,ΤΟΝΤΣΙΚΑ,0
6771,4134,ΤΟΝΤΣΙΟ,1
6772,4135,ΤΟΣΟΥΝ,1
6773,9415,ΤΟΤΚΑ,0
6774,9419,ΤΟΥΛΕΡ,0
6775,9420,ΤΟΥΡΚΑΝ,0
6776,4136,ΤΟΥΡΚΑΝ,1
6777,9421,ΤΟΥΡΚΙΑΝ,0
6778,4137,ΤΟΥΣ,1
6779,4138,ΤΟΦΙΚ,1
6780,9422,ΤΡΑΙΑΝΗ,0
6781,4139,ΤΡΑΙΑΝΟΣ,1
6782,4140,ΤΡΑΙΝΟΣ,1
6783,4141,ΤΡΑΝΤΑΦΥΛΛΟΣ,1
6784,9423,ΤΡΕΝΤΑ,0
6785,9424,ΤΡΕΝΤΑΦΙΛΕ,0
6786,9425,ΤΡΙΑΔΑ,0
6787,9426,ΤΡΙΑΔΗ,0
6788,9427,ΤΡΙΑΔΩ,0
6789,4142,ΤΡΙΑΝΤ,1
6790,9428,ΤΡΙΑΝΤΑΦ,0
6791,9429,ΤΡΙΑΝΤΑΦΙΛ,0
6792,9430,ΤΡΙΑΝΤΑΦΥΛ,0
6793,9431,ΤΡΙΑΝΤΑΦΥΛΙΑ,0
6794,9432,ΤΡΙΑΝΤΑΦΥΛΛ,0
6795,9433,ΤΡΙΑΝΤΑΦΥΛΛΕ,0
6796,9434,ΤΡΙΑΝΤΑΦΥΛΛΕΝΙΑΕΛΕΝ,0
