,Names,isMale
463,ΓΑΡΥΦΑΛΙΑ,0
464,ΓΑΡΥΦΑΛΛΙΑ,0
465,ΓΕΘΣΗΜΑΝΗ,0
466,ΓΕΝΟΒΕΦΑ,0
467,ΓΕΡΑΚΙΝΑ,0
468,ΓΕΡΑΣΙΜΟΣ,1
469,ΓΕΡΒΑΣΙΟΣ,1
470,ΓΕΣΘΗΜΑΝΗ,0
471,ΓΕΩΡΓΙΑ,0
472,ΓΕΩΡΓΙΑ,0
473,ΓΕΩΡΓΙΑ,0
475,ΓΕΩΡΓΙΑ,0
476,ΓΕΩΡΓΙΑ,0
477,ΓΕΩΡΓΙΑ,0
478,ΓΕΩΡΓΙΑ,0
479,ΓΕΩΡΓΙΑ,0
480,ΓΕΩΡΓΙΑ,0
474,ΓΕΩΡΓΙΑ,0
482,ΓΕΩΡΓΙΑ,0
483,ΓΕΩΡΓΙΑ,0
484,ΓΕΩΡΓΙΑ,0
485,ΓΕΩΡΓΙΑ,0
486,ΓΕΩΡΓΙΑ,0
487,ΓΕΩΡΓΙΑ,0
488,ΓΕΩΡΓΙΑ,0
481,ΓΕΩΡΓΙΑ,0
489,ΓΕΩΡΓΙΑΜΑΡΙΑ,0
490,ΓΕΩΡΓΙΟ,1
524,ΓΕΩΡΓΙΟΣ,1
525,ΓΕΩΡΓΙΟΣ,1
526,ΓΕΩΡΓΙΟΣ,1
530,ΓΕΩΡΓΙΟΣ,1
528,ΓΕΩΡΓΙΟΣ,1
529,ΓΕΩΡΓΙΟΣ,1
523,ΓΕΩΡΓΙΟΣ,1
531,ΓΕΩΡΓΙΟΣ,1
527,ΓΕΩΡΓΙΟΣ,1
522,ΓΕΩΡΓΙΟΣ,1
517,ΓΕΩΡΓΙΟΣ,1
520,ΓΕΩΡΓΙΟΣ,1
519,ΓΕΩΡΓΙΟΣ,1
518,ΓΕΩΡΓΙΟΣ,1
516,ΓΕΩΡΓΙΟΣ,1
515,ΓΕΩΡΓΙΟΣ,1
510,ΓΕΩΡΓΙΟΣ,1
512,ΓΕΩΡΓΙΟΣ,1
513,ΓΕΩΡΓΙΟΣ,1
532,ΓΕΩΡΓΙΟΣ,1
514,ΓΕΩΡΓΙΟΣ,1
521,ΓΕΩΡΓΙΟΣ,1
533,ΓΕΩΡΓΙΟΣ,1
498,ΓΕΩΡΓΙΟΣ,1
497,ΓΕΩΡΓΙΟΣ,1
511,ΓΕΩΡΓΙΟΣ,0
491,ΓΕΩΡΓΙΟΣ,1
492,ΓΕΩΡΓΙΟΣ,1
493,ΓΕΩΡΓΙΟΣ,1
494,ΓΕΩΡΓΙΟΣ,1
495,ΓΕΩΡΓΙΟΣ,1
496,ΓΕΩΡΓΙΟΣ,1
534,ΓΕΩΡΓΙΟΣ,1
509,ΓΕΩΡΓΙΟΣ,1
508,ΓΕΩΡΓΙΟΣ,1
500,ΓΕΩΡΓΙΟΣ,1
501,ΓΕΩΡΓΙΟΣ,1
502,ΓΕΩΡΓΙΟΣ,1
503,ΓΕΩΡΓΙΟΣ,1
504,ΓΕΩΡΓΙΟΣ,1
505,ΓΕΩΡΓΙΟΣ,1
506,ΓΕΩΡΓΙΟΣ,1
507,ΓΕΩΡΓΙΟΣ,1
499,ΓΕΩΡΓΙΟΣ,1
535,ΓΕΩΡΓΙΟΣΧΡΗΣΤΟΣ,1
536,ΓΙΑΝΝΑ,0
537,ΓΙΑΝΝΗΣ,0
538,ΓΙΑΝΝΟΥΛΑ,0
539,ΓΙΑΝΝΟΥΛΑ,0
540,ΓΙΟΛΑΝΤΑ,0
541,ΓΚΑΓΙΑΝΕ,0
542,ΓΚΑΛΙΝ,0
543,ΓΚΑΛΙΝΑ,0
544,ΓΚΕΖΙΜ,0
545,ΓΚΕΛΑ,0
546,ΓΚΕΝΤΙΑΝ,0
547,ΓΚΕΡΛΙΝΤ,0
548,ΓΚΙΟΥΛΣΕΡ,0
549,ΓΚΙΟΥΝΑΗ,0
550,ΓΚΟΛΦΩ,0
551,ΓΡΑΜΜΑΤΙΚΗ,0
552,ΓΡΑΜΜΑΤΩ,0
553,ΓΡΗΓΟΡΗΣ,1
554,ΓΡΗΓΟΡΙΑ,0
555,ΓΡΗΓΟΡΙΑ,0
560,ΓΡΗΓΟΡΙΟΣ,0
556,ΓΡΗΓΟΡΙΟΣ,1
561,ΓΡΗΓΟΡΙΟΣ,1
557,ΓΡΗΓΟΡΙΟΣ,1
559,ΓΡΗΓΟΡΙΟΣ,1
558,ΓΡΗΓΟΡΙΟΣ,1
562,ΔΑΜΙΑΝΟΣ,1
568,ΔΑΝΑΗ,0
563,ΔΑΝΑΗ,0
564,ΔΑΝΑΗ,0
565,ΔΑΝΑΗ,0
567,ΔΑΝΑΗ,0
569,ΔΑΝΑΗ,0
570,ΔΑΝΑΗ,0
566,ΔΑΝΑΗ,0
571,ΔΑΝΙΗΛ,0
572,ΔΑΥΙΔ,1
577,ΔΑΦΝΗ,0
575,ΔΑΦΝΗ,0
576,ΔΑΦΝΗ,0
573,ΔΑΦΝΗ,1
574,ΔΑΦΝΗ,0
578,ΔΕΣΠΟΙ,0
592,ΔΕΣΠΟΙΝΑ,0
591,ΔΕΣΠΟΙΝΑ,0
590,ΔΕΣΠΟΙΝΑ,0
589,ΔΕΣΠΟΙΝΑ,0
588,ΔΕΣΠΟΙΝΑ,0
587,ΔΕΣΠΟΙΝΑ,0
586,ΔΕΣΠΟΙΝΑ,0
584,ΔΕΣΠΟΙΝΑ,0
585,ΔΕΣΠΟΙΝΑ,0
582,ΔΕΣΠΟΙΝΑ,0
581,ΔΕΣΠΟΙΝΑ,0
580,ΔΕΣΠΟΙΝΑ,0
579,ΔΕΣΠΟΙΝΑ,0
583,ΔΕΣΠΟΙΝΑ,0
608,ΔΗΜΗΤΡΑ,0
600,ΔΗΜΗΤΡΑ,0
603,ΔΗΜΗΤΡΑ,0
606,ΔΗΜΗΤΡΑ,0
609,ΔΗΜΗΤΡΑ,0
610,ΔΗΜΗΤΡΑ,0
602,ΔΗΜΗΤΡΑ,0
601,ΔΗΜΗΤΡΑ,0
599,ΔΗΜΗΤΡΑ,0
607,ΔΗΜΗΤΡΑ,0
597,ΔΗΜΗΤΡΑ,0
596,ΔΗΜΗΤΡΑ,0
595,ΔΗΜΗΤΡΑ,0
594,ΔΗΜΗΤΡΑ,0
593,ΔΗΜΗΤΡΑ,0
605,ΔΗΜΗΤΡΑ,0
598,ΔΗΜΗΤΡΑ,0
604,ΔΗΜΗΤΡΑ,0
612,ΔΗΜΗΤΡΗΣ,0
611,ΔΗΜΗΤΡΗΣ,1
619,ΔΗΜΗΤΡΙΟΣ,1
620,ΔΗΜΗΤΡΙΟΣ,1
638,ΔΗΜΗΤΡΙΟΣ,1
624,ΔΗΜΗΤΡΙΟΣ,0
639,ΔΗΜΗΤΡΙΟΣ,1
640,ΔΗΜΗΤΡΙΟΣ,1
615,ΔΗΜΗΤΡΙΟΣ,1
641,ΔΗΜΗΤΡΙΟΣ,1
642,ΔΗΜΗΤΡΙΟΣ,1
614,ΔΗΜΗΤΡΙΟΣ,1
643,ΔΗΜΗΤΡΙΟΣ,1
644,ΔΗΜΗΤΡΙΟΣ,1
613,ΔΗΜΗΤΡΙΟΣ,1
636,ΔΗΜΗΤΡΙΟΣ,1
635,ΔΗΜΗΤΡΙΟΣ,1
634,ΔΗΜΗΤΡΙΟΣ,1
637,ΔΗΜΗΤΡΙΟΣ,1
633,ΔΗΜΗΤΡΙΟΣ,1
631,ΔΗΜΗΤΡΙΟΣ,1
630,ΔΗΜΗΤΡΙΟΣ,1
629,ΔΗΜΗΤΡΙΟΣ,1
616,ΔΗΜΗΤΡΙΟΣ,1
628,ΔΗΜΗΤΡΙΟΣ,1
